Year of the Trees,Calculated Sun Years,Event
Pre-1000,Pre-9582,Melkor sleeps in Utumno.  Oromë hunts throughout Middle-earth. Melkor raises the Hithaeglir to hinder his efforts.
????,????,"About some time before the waking of the Elves, Aulë creates the 7 Fathers of the Dwarves and their 6 spouses. Ilúvatar adopts them and they are put to sleep."
1000,9582,"The Valar hold council, for Yavanna and Oromë report that Melkor might rise once more in power.  They discuss the Children of Ilúvatar.  Varda begins to fashion new stars, and organize them and those already wrought into constellations, over the next fifty years."
1050,"10,061","Varda forms the Valacirca. The first 144 Elves (Minyar, Tatyar, and Nelyar) awake in Cuiviénen. Melian travels to Beleriand after ascending Taniquetil to see the stars."
????,????,Spies of Melkor discover the Elves and afflict them. Possibly Orcs first created.
1085,"10,396","Oromë discovers the Elves, and calls them Eldar.  The Eldar are afraid of Oromë, and blame him for Melkor's work."
1086,"10,406","Oromë returns to Valinor, and witnesses to his peers about the Children of Ilúvatar.  Oromë returns to the Elves while the Valar consider his message."
1090,"10,444","Valar make war on Melkor in the War for Sake of the Elves. The earth is shaken. The shores of Beleriand are formed and bays are created on the North. Over the next two years Melkor is defeated, and retreats into Utumno."
1092,"10,464",The Siege of Utumno begins. North is desolated and the Sea widened.
1099,"10,530","The Siege of Utumno ends, as the Valar storm the final defenses. Balrogs attack and Manwë slays them. Tulkas captures Melkor, binding him with Angainor. Sauron evades capture."
1100,"10,540","Melkor is brought back to Valinor, judged and cast into Mandos."
1101,"10,550",Valar make council about the protection of Eruhíni and decide to bring them to Valinor. Oromë Invites the Elves.
1102,"10,559","Elves are unwilling so Oromë invites the three Elven ambassadors, Ingwë, Finwë and Elwë to come to Valinor."
1104,"10,579",Ambassadors return to Cuiviénen and invite the Elves to return with them to Valinor.
1105,"10,588","First Sundering of the Elves at Cuiviénen. Vanyar under Ingwë, Noldor under Finwë and Teleri under Elwë and Olwë. Avari, under Morwë and Nurwë, stay in Cuiviénen.The Eldar depart, pass Sea of Helcar and turn west. Some are terrified by the smokes of war and go back."
1115,"10,684","Second Sundering of the Elves: The host pass Greenwood the Great and come to the River Anduin. Some Lindar wish to stay there. Terrified by the Hithaeglir, a part of them go south led by Lenwë."
1125,"10,780",Vanyar and Noldor enter Beleriand; the foremost of them pass Sirion and reach the shores. Oromë goes to Aman for counsel.
