S.A.,Event
1,"Foundation of the Grey Havens, and of Lindon."
32,"The Edain, and a few Drúedain, reach Númenor; Elros Tar-Minyatur becomes the first King of Númenor."
c. 40,Dwarves of the Firebeards and Broadbeams clans migrate to Khazad-dûm from Blue Mountains.
61,"Birth of Vardamir Nólimon, second King of Númenor."
c. 82,The emigration of the Edain to Númenor ends.
192,"Birth of Amandil, third King of Númenor."
203,Birth of Vardilmë.
213,Birth of Aulendil.
222,Birth of Nolondil.
350,"Birth of Elendil, fourth King of Númenor."
361,Birth of Eärendur (son of Amandil).
371,Birth of Yávien.
377,Birth of Mairen.
382,Birth of Oromendil.
395,Birth of Axantur.
442,Death of King Elros Tar-Minyatur. Vardamir Nólimon inherits the Sceptre to become the second King of Númenor but immediately abdicates. Tar-Amandil becomes the third King of Númenor.
443,The notional end of Vardamir Nólimon's reign.
451,Birth of Vëantur.
471,"Death of Vardamir Nólimon, second King of Númenor."
c. 500,Sauron returns to Middle-earth in the East.
512,Birth of Caliondo.
521,Birth of Silmariën.
532,Birth of Isilmë.
543,"Birth of Meneldur, fifth King of Númenor."
551,Birth of Lindissë.
562,Birth of Ardamir (son of Axantur).
575,Birth of Cemendur (son of Axantur).
590,Tar-Amandil surrenders the Sceptre; Tar-Elendil becomes the fourth King of Númenor.
600,"Captain of the King's Ships, Vëantur, makes the first Númenórean voyage back to Middle-earth. The Númenóreans meet Men of Eriador at Tower Hills."
601,Vëantur returns from his voyage to Mithlond.
603,"Death of Tar-Amandil, third King of Númenor."
630,"Birth of Valandil, first Lord of Andúnië."
670,Birth of Malantur.
700,"Birth of Aldarion, sixth King of Númenor.Birth of Írildë."
711,Birth of Hallatan.
712,Birth of Ailinel.
725,Aldarion makes his first journey to Mithlond in the ship Númerrámar captained by Vëantur.
727,Aldarion and Vëantur return to Númenor.
729,Birth of Almiel.
730,Aldarion makes his second journey to Mithlond.
733,Aldarion returns to Númenor.
735,"Aldarion makes his third journey to Middle-earth, visiting the coasts as far south as the Bay of Belfalas."
739,"Aldarion returns to Númenor, bearing gifts from Gil-galad to his father Meneldur."
740,Tar-Elendil surrenders the Sceptre; Tar-Meneldur becomes the fifth King of Númenor.
750,Eregion is founded and construction on Ost-in-Edhil begins.Aldarion founds the Guild of Venturers.
751,"Death of Tar-Elendil, fourth King of Númenor."
771,Birth of Erendis.
799,Birth of Soronto.
800,Aldarion proclaimed the King's Heir.
806,Aldarion's seven-year voyage.
813,Aldarion returns to Númenor.
816,Palarran completed; Aldarion's four year voyage.
820,Aldarion returns to Númenor; Tar-Meneldur rescinds Aldarion's authority.
824,Aldarion's five year voyage.
829,Aldarion returns and immediately sets out upon his fourteen year voyage.
840,Birth of Nessanië.
843,Aldarion returns to Númenor; Tar-Meneldur restores authority.
850,Aldarion and Erendis sail to Andúnië.
852,Birth of Hallacar.
858,Aldarion is betrothed to Erendis.
861,Aldarion and Erendis forswear wedding until his return.
863,Aldarion's six year voyage.
869,Aldarion returns to Númenor; first shadow appears on sailing to Middle-earth.
870,Wedding of Aldarion and Erendis.
873,Birth of Ancalimë.
877,Hirilondë completed; Aldarion's second five year voyage.
880,Ancalimë learns her father is Lord Aldarion.
882,Aldarion returns. Seperation of Aldarion and Erendis.
883,Tar-Aldarion takes the Sceptre.
892,Ancalimë proclaimed King's Heir and changes law of marriage.
900,Death of Caliondo.
942,Death of Meneldur.
985,Drowning of Erendis.
"1,000",Sauron begins construction on Barad-dûr; Ancalimë weds Hallacar.
"1,003",Birth of Anárion.
"1,075",Queen Tar-Ancalimë takes the Sceptre.
"1,098",Death of Tar-Aldarion.
"1,174",Birth of Súrion.
"1,200",Ereinion Gil-galad turns away Annatar; Númenóreans begin to construct permanent havens.
"1,211",Death of Hallacar.
"1,280",Tar-Anárion takes the Sceptre.
"1,285",Death of Ancalimë.
"1,320",Birth Telperiën.
"1,350","After this time, Galadriel and Celeborn leave Eregion and go to Lothlórien."
"1,394",Tar-Súrion takes the Sceptre.
"1,404",Death of Tar-Anárion.
"1,474",Birth of Minastir.
"1,500",The Rings of Power are forged; Sauron departs Eregion.
