char,movie,word_count,name,birth,death,gender,hair,height,race,realm,spouse,birth_era,death_era
ARAGORN,The Fellowship of the Ring,563,Aragorn II Elessar,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")",Men,"Reunited Kingdom,Arnor,Gondor",Arwen,Ma,FO
ARAGORN,The Return of the King,664,Aragorn II Elessar,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")",Men,"Reunited Kingdom,Arnor,Gondor",Arwen,Ma,FO
ARAGORN,The Two Towers,753,Aragorn II Elessar,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")",Men,"Reunited Kingdom,Arnor,Gondor",Arwen,Ma,FO
ARWEN,The Fellowship of the Ring,209,Arwen,TA 241,FO 121,Female,Black,,"Half-elven,Men",Reunited Kingdom,Aragorn II Elessar,TA,FO
ARWEN,The Return of the King,126,Arwen,TA 241,FO 121,Female,Black,,"Half-elven,Men",Reunited Kingdom,Aragorn II Elessar,TA,FO
ARWEN,The Two Towers,119,Arwen,TA 241,FO 121,Female,Black,,"Half-elven,Men",Reunited Kingdom,Aragorn II Elessar,TA,FO
BARLIMAN,The Fellowship of the Ring,113,Barliman Butterbur,TA,FO,Male,Brown (movie),,Men,,,TA,FO
BILBO,The Fellowship of the Ring,1375,Bilbo Baggins,"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,"Brown, later white","1.25m (4'1"")",Hobbit,,None,22,Unknown
BILBO,The Return of the King,58,Bilbo Baggins,"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,"Brown, later white","1.25m (4'1"")",Hobbit,,None,22,Unknown
BOROMIR,The Fellowship of the Ring,438,Boromir,TA 2978,"February 26 ,3019",Male,Dark (book) Light brown (movie),,Men,,,TA,Fe
BOROMIR,The Two Towers,168,Boromir,TA 2978,"February 26 ,3019",Male,Dark (book) Light brown (movie),,Men,,,TA,Fe
CAPTAIN,The Return of the King,17,Beregond (Captain),TA 2976,FO,Male,,,Men,,Unnamed wife,TA,FO
DAMROD,The Return of the King,4,Damrod,TA,TA 3019,Male,Dark,,Men,,,TA,TA
DEAGOL,The Return of the King,14,D��,"Between TA 2400 and ,TA 2430",TA 2463,Male,Dark-brown,,Hobbit,,None,Be,TA
DENETHOR,The Return of the King,663,Denethor II,TA 2930,"March 15 ,3019",Male,"Dark, grey (in old age)",,Men,,Finduilas,TA,Ma
DENETHOR,The Two Towers,309,Denethor II,TA 2930,"March 15 ,3019",Male,"Dark, grey (in old age)",,Men,,Finduilas,TA,Ma
ELROND,The Fellowship of the Ring,244,Elrond,FA 532,"Still alive",Male,Dark,Tall,Half-elven,Rivendell,Celebr��,FA,St
ELROND,The Return of the King,301,Elrond,FA 532,"Still alive",Male,Dark,Tall,Half-elven,Rivendell,Celebr��,FA,St
ELROND,The Two Towers,203,Elrond,FA 532,"Still alive",Male,Dark,Tall,Half-elven,Rivendell,Celebr��,FA,St
EOMER,The Return of the King,197,omer,TA 2990,FO 63,Male,Dirty blond,Tall-6'6,Men,Rohan,Loth��riel after the War of the ,TA,FO
EOMER,The Two Towers,244,omer,TA 2990,FO 63,Male,Dirty blond,Tall-6'6,Men,Rohan,Loth��riel after the War of the ,TA,FO
EOTHAIN,The Two Towers,2,othain,TA,,Male,,,Men,,,TA,
EOWYN,The Return of the King,294,owyn,TA 2995,FO,Female,Pale gold,Tall,Men,,Faramir,TA,FO
EOWYN,The Two Towers,259,owyn,TA 2995,FO,Female,Pale gold,Tall,Men,,Faramir,TA,FO
