date,event,age
1–1499,The First War and the Marring of Arda.,YL
1500,Tulkas enters Eä and Melkor flees.,YL
1900,The completion of Arda. The Valar create the Two Lamps and settle at Almaren. Beginning of the Spring of Arda.,YL
3400,"Tulkas weds Nessa.Melkor secretly returns to Arda, raises the Iron Mountains and delves Utumno, and partly blights the Spring of Arda.",YL
3450,"Melkor overthrows the Two Lamps forming Helcar and Ringil. Almaren is destroyed. In order to preserve life on the earth, Yavanna sets most living things into a long sleep. End of the Spring of Arda.",YL
3450–3500,The Valar raise the Pelóri and settle in Aman. The Two Trees are grown in Valinor.,YL
Pre-1000,Melkor sleeps in Utumno.  Oromë hunts throughout Middle-earth. Melkor raises the Hithaeglir to hinder his efforts.,YT
????,"About some time before the waking of the Elves, Aulë creates the 7 Fathers of the Dwarves and their 6 spouses. Ilúvatar adopts them and they are put to sleep.",YT
1000,"The Valar hold council, for Yavanna and Oromë report that Melkor might rise once more in power.  They discuss the Children of Ilúvatar.  Varda begins to fashion new stars, and organize them and those already wrought into constellations, over the next fifty years.",YT
1050,"Varda forms the Valacirca. The first 144 Elves (Minyar, Tatyar, and Nelyar) awake in Cuiviénen. Melian travels to Beleriand after ascending Taniquetil to see the stars.",YT
????,Spies of Melkor discover the Elves and afflict them. Possibly Orcs first created.,YT
1085,"Oromë discovers the Elves, and calls them Eldar.  The Eldar are afraid of Oromë, and blame him for Melkor's work.",YT
1086,"Oromë returns to Valinor, and witnesses to his peers about the Children of Ilúvatar.  Oromë returns to the Elves while the Valar consider his message.",YT
1090,"Valar make war on Melkor in the War for Sake of the Elves. The earth is shaken. The shores of Beleriand are formed and bays are created on the North. Over the next two years Melkor is defeated, and retreats into Utumno.",YT
1092,The Siege of Utumno begins. North is desolated and the Sea widened.,YT
1099,"The Siege of Utumno ends, as the Valar storm the final defenses. Balrogs attack and Manwë slays them. Tulkas captures Melkor, binding him with Angainor. Sauron evades capture.",YT
1100,"Melkor is brought back to Valinor, judged and cast into Mandos.",YT
1101,Valar make council about the protection of Eruhíni and decide to bring them to Valinor. Oromë Invites the Elves.,YT
1102,"Elves are unwilling so Oromë invites the three Elven ambassadors, Ingwë, Finwë and Elwë to come to Valinor.",YT
1104,Ambassadors return to Cuiviénen and invite the Elves to return with them to Valinor.,YT
1105,"First Sundering of the Elves at Cuiviénen. Vanyar under Ingwë, Noldor under Finwë and Teleri under Elwë and Olwë. Avari, under Morwë and Nurwë, stay in Cuiviénen.The Eldar depart, pass Sea of Helcar and turn west. Some are terrified by the smokes of war and go back.",YT
1115,"Second Sundering of the Elves: The host pass Greenwood the Great and come to the River Anduin. Some Lindar wish to stay there. Terrified by the Hithaeglir, a part of them go south led by Lenwë.",YT
1125,Vanyar and Noldor enter Beleriand; the foremost of them pass Sirion and reach the shores. Oromë goes to Aman for counsel.,YT
1128,The unwilling Teleri also come to Beleriand and dwell east of Gelion. Elwë keeps friendship with Finwë and Noldor on the west.,YT
1130,Elwë returning from a meeting with Finwë meets Melian in Nan Elmoth and falls into a trance.,YT
1132,"Ulmo brings an island to the Bay of Balar. The Vanyar and Noldor forget their fear for the Sea and embark upon it while the Teleri look for Elwë.When departing, the island breaks and leaves the Isle of Balar behind.
After learning of their embark, some Teleri led by Olwë, reach the shores and meet Ossë and Uinen.",YT
1133,Vanyar and Noldor enter Valinor and build Eldamar. The Valar open the rift Calacirya in Pelóri so that the Light of Valinor reaches Eldamar. The Elves begin the building of Tirion on the hill Túna inside Calacirya.,YT
1140,Vanyar and Noldor found Tirion and Mindon Eldaliéva. Some Vanyar yearn for the Trees and go closer to Valinor.,YT
1142,White Tree given to Noldor by Yavanna.,YT
1149,Finwë prays to Ulmo to bring the Teleri. However Ossë is grieved and persuades some to stay with him. Círdan with some establish the havens of Brithombar and Eglarest. Ossë teaches them shipcraft.,YT
1150,Olwë and the most part of the Teleri leave Beleriand. The rest of the Teleri are still looking for Elwë and are named Eglath.,YT
1151,Tol Eressëa with the Teleri stops moving outside the Bay of Eldamar. They are afterwards named Falmari who choose to remain on Tol Eressëa.,YT
1152,Elwë awakens from the trance and becomes King of Elves in Beleriand; his hair is now silver.,YT
1161,The Falmari after the teachings of Ossë build ships. They leave Tol Eressëa and come to Valinor.,YT
1162,Teleri found Alqualondë with the help of Finwë.,YT
1165,All the Vanyar depart from Tirion to Taniquetil and Noldor stay with the Falmari.,YT
1169,Birth of Fëanor son of Finwë and Míriel. The Noldor are taught by Aulë labouring and love the jewels. Rúmil of Tirion makes the Sarati and possibly writes the Ainulindalë.,YT
1170,Death of Míriel Serindë.,YT
1172,Doom of Manwë.,YT
1185,Finwë weds Indis.,YT
1190,Birth of Fingolfin.,YT
1200,Second Age of Chaining of Melkor: Lúthien born in Neldoreth.,YT
1230,Birth of Finarfin.,YT
1250,Fëanor creates the Tengwar.Dwarves enter Beleriand and meet the Sindar.,YT
1280,Finarfin weds Eärwen.,YT
1300,"Third Age of Chaining of Melkor: births of Turgon and Finrod.Dwarves of Belegost and Elves begin the building of Menegroth in Doriath. The Dwarves are paid with knowledge from Melian and with many pearls, including Nimphelos. Daeron creates the Certhas Daeron.",YT
1330,Orcs first seen in Beleriand; Dwarves make weapons for the Sindar.,YT
1350,"Denethor leads some of the Nandor into Beleriand and befriends Thingol. They settle in Ossiriand. Daeron betters the Cirth, which are adopted by the Dwarves and made known east of the Blue Mountains.",YT
1362,Births of Galadriel and Aredhel.,YT
1400,Melkor released from bondage.,YT
1410,Melkor befriends the Noldor.,YT
1449,"Fëanor having invented the substance Silima begins constructing the Silmarils,",YT
1450,Fëanor completes the Silmarils; he puts the Light of the Trees in them and Varda hallows them.For the next 20 years Melkor begins spreading strife and talking about weapons.,YT
1490,The Valar summon Fëanor who threatens Fingolfin with his sword. They exile him to Formenos and Finwë follows.,YT
1492,Melkor visits Fëanor but he repels him. Finwë then warns the Valar and begins to pursue Melkor. Melkor hides and meets Ungoliant in Avathar.,YT
1495,"Fëanor is commanded by Manwë to Taniquetil where he and Fingolfin reconcile. Ungoliant destroys the Two Trees, Morgoth kills Finwë in Formenos and steals the Silmarils. They flee to Beleriand where they debate. Balrogs arrive and drive Ungoliant away. Morgoth stays in Angband and raises the Thangorodrim.
Fëanor begins the rebellion and goes to Alqualondë where he fights with the Falmari and steals their swanships. The Flight of the Noldor begins.",YT
1496,Mandos (or his messenger) appears before the Noldor and speaks the Doom of Mandos. Finarfin with some repent and return to Valinor where he is accepted. Finrod his son becomes the leader of his house and follows Fëanor.,YT
1497,"First Battle of Beleriand. Death of Denethor, besiegement of the Havens of the Falas. Thingol withdraws his people and the Girdle of Melian is set around Doriath. The Laiquendi from now on remain hidden and take no other king.
The Noldor arrive at Helcaraxë, but Fëanor and his people betray Fingolfin and sail to Beleriand. Burning of the ships at Losgar. Dagor-nuin-Giliath (""Battle-under-Stars""). Fëanor is mortally wounded by Gothmog and is rescued by his sons before dying in sight of the Thangorodrim. Maedhros meets with Morgoth under a false truce, his forces are too few and he is captured.",YT
1498,Maedhros is chained to the Thangorodrim. The Noldor do not depart as demanded by Morgoth and instead make a great camp at Mithrim.,YT
1500,"Creation of Moon and Sun. The host of the Noldor finishes crossing the Helcaraxë and enters Beleriand under Fingolfin. Battle of the Lammoth and death of Argon. The Moon rises and after seven times, the Sun follows.",YT
1,Men awake in Hildórien.,FA
2,The host of Fingolfin camps beside Lake Mithrim.,FA
5,"Fingon rescues Maedhros from Thangorodrim, Fingolfin becomes High King of the Noldor in Beleriand.",FA
6,Thingol grants permission for the Noldor to occupy the Northlands.,FA
7,The Noldor hold a council. The Sons of Fëanor relocate to East Beleriand.,FA
20,The Feast of Mereth Aderthad; Mablung of the heavy hand and Daeron sent from Doriath to attend.,FA
50,Ulmo grants visions of hidden places to Finrod and Turgon.,FA
52,Nulukkizdîn‎ discovered by Finrod and begins to construct Nargothrond.,FA
53,Hidden valley of Tumladen discovered by Turgon.,FA
60,"Dagor Aglareb (""The Glorious Battle""), Siege of Angband begins.Minas Tirith constructed.",FA
64,"Turgon removes his people from Nevrast to Tumladen, construction of Gondolin.",FA
65,Brithombar and Eglarest constructed.,FA
66,Thingol learns of the Silmarils from Galadriel.,FA
67,"Thingol learns of the Kinslaying at Alqualondë, Quenya forbidden in Beleriand.",FA
102,Nargothrond completed.,FA
116,Gondolin completed.,FA
150,Caranthir meets with the Dwarves of the Blue Mountains.,FA
155,Orcs from Lammoth attack Hithlum.,FA
260,"Glaurung defeated in Ard-galen, Long Peace begins.",FA
262,Birth of Bëor.,FA
282,Birth of Marach.,FA
289,Birth of Baran.,FA
292,Birth of Belen.,FA
307,Birth of Malach.,FA
310,Men of the House of Bëor enter Beleriand and are discovered by Finrod.Birth of Imlach.,FA
311,Finrod leaves with Bëor. Baran leads the House of Bëor.,FA
312,The Haladin enter Beleriand.,FA
313,Marach enters Beleriand.,FA
315,Births of Haldad and Boron.,FA
316,"Birth of Beldir, Aredhel leaves Gondolin and weds Eöl.",FA
317,Birth of Baranor.,FA
320,Birth of Maeglin.,FA
322,Malach settles in Hithlum.,FA
336,Malach leaves Hithlum.,FA
337,"Birth of Amlach, Malach weds Zimrahin.",FA
338,Birth of Boromir,FA
339,Births of Adanel and Belemir.,FA
340,Births of Bereg and Belegor.,FA
341,"Births of Magor, Haleth, and Haldar.",FA
355,Death of Bëor.,FA
359,Birth of Bregor.,FA
361,Birth of Andreth.,FA
365,Births of Hathol and Beril.,FA
366,Birth of Haldan.,FA
369,Bereg leads a thousand people southwards.,FA
374,Birth of Beren.,FA
375,Battle of the Gelion-Ascar Stockade. Deaths of Haldad and Haldar.,FA
376,Death of Marach.,FA
380,Death of Baran.,FA
386,Birth of Bregil.,FA
389,Birth of Hirwen.,FA
390,Birth of Hador and Halmir.,FA
393,Birth of Bregolas.,FA
397,Birth of Gilwen.,FA
398,Death of Malach.,FA
400,Aredhel and Maeglin return to Gondolin and is secretly followed by Eöl. Eöl kills Aredhel and is then executed.Birth of Barahir.,FA
402,Battle of Aglon Pass.,FA
405,Hador enters the service of Fingolfin.,FA
406,Birth of Emeldir.,FA
408,Death of Boron.,FA
409,"Birth of Brandir, conversation of Finrod and Andreth.",FA
410,Ladros is given to the House of Bëor.,FA
411,Birth of Beldis.,FA
414,Birth of Haldir.,FA
415,Birth of Glóredhel.,FA
416,The House of Hador is given the lands of Dor-lómin to dwell in.,FA
417,Birth of Galdor and Beleth.,FA
418,Birth of Hundar.,FA
419,Birth of Gundor.,FA
420,Death of Haleth. Birth of Hareth and Baragund. Hador dwells in Hithlum.,FA
422,Forest of Brethil given to the House of Haleth. Belegund born.,FA
432,"Birth of Beren Erchamion, death of Boromir.",FA
436,Galdor weds Hareth.,FA
441,Birth of Húrin and Handir.,FA
443,Birth of Morwen and Hunleth.,FA
444,Birth of Huor.,FA
447,Birth of Hundad.,FA
448,Death of Bregor.,FA
450,Birth of Rían.,FA
451,Death of Haldan.,FA
455,"Morgoth breaks the Siege of Angband, Dagor Bragollach (""Battle of Sudden Flame""). Deaths of Fingolfin, Angrod, Aegnor, Hador, Gundor, and Bregolas, Fingon becomes High King of the Noldor, Gil-galad sent to the Falas",FA
456,"Death of Fingolfin in single combat with Morgoth.Death of Gundor.Emeldir, wife of Barahir, leads their people out of Dorthonion to Brethil.",FA
457,"Sauron captures Minas Tirith, Húrin and Huor depart Gondolin. Barahir and his outlaws in Dorthonion, Orcs defeated in the Forest of Brethil.",FA
458,Húrin and Huor enter Gondolin.,FA
459,Húrin and Huor leave Gondolin.,FA
460,"Deaths of Barahir, Belegund, Baragund, and all the outlaws save Beren Erchamion.",FA
462,Death of Galdor. Orcs invade Beleriand.,FA
463,Easterlings swear false loyalty to Maedhros.,FA
464,Birth of Túrin. Beren leaves Dorthonion and meets Lúthien in the forest of Doriath.,FA
465,Birth of Brandir. Quest for the Silmaril. Death of Finrod.,FA
466,Birth of Lalaith. Silmaril taken from Morgoth; Beren loses his hand to Carcharoth; the Hunting of the Wolf; first death of Beren Erchamion.,FA
467,First death of Lúthien. Lúthien sings Beren back from Mandos.,FA
468,"Birth of Hunthor, Thingol refuses to join the Union of Maedhros.",FA
469,Death of Lalaith. Orcs driven from Beleriand. Beren and Lúthien return to Middle-earth.,FA
470,Births of Dior and Hardang.,FA
471,"Death of Halmir, Huor weds Rían.",FA
472,"Nirnaeth Arnoediad (""Battle of Unnumbered Tears""), Year of Lamentation. Birth of Tuor. Deaths of Fingon, Huor, Glóredhel, Azaghâl, Haldir, Hundar and Rían. Turgon becomes High King of the Noldor.",FA
473,"Birth of Nienor, Túrin sent to Doriath. Fall of the Falas, Brithombar and Eglarest ruined, Gil-galad and Cirdan flee to Balar. Havens of Sirion constructed.",FA
481,Túrin and Beleg in Doriath.,FA
484,"Death of Saeros, Túrin leaves Doriath.",FA
485,Túrin kills Forweg and becomes leader of the Gaurwaith.,FA
486,Túrin and the outlaws encounter Mim and make their home on Amon Rûdh as the House of Ransom.,FA
487,Túrin an outlaw on Amon Rûdh.,FA
488,Tuor enslaved.,FA
489,"Túrin and Beleg on Amon Rûdh, death of Beleg.",FA
490,"Gwindor leads Túrin to Nargothrond, Túrin becomes captain of Nargothrond.",FA
491,Tuor escapes and becomes an outlaw.,FA
494,Morwen and Nienor flee to Doriath.,FA
495,"Battle of the Crossings of the Taeglin, Battle of Tumhalad, Tuor comes to Nevrast. Sack of Nargothrond by Glaurung. Deaths of Finduilas, Orodreth, Gwindor, and Handir.",FA
496,"Túrin comes to Brethil.Tuor comes to Gondolin.Morwen Eledhwen and Nienor leave Doriath seeking Túrin; Nienor loses memory, is found by the Men of Brethil, and is given the name Níniel.",FA
497,Dior weds Nimloth.,FA
498,Túrin weds Níniel.,FA
499,"Deaths of Glaurung, Brandir, Hunthor, Nienor and Túrin.",FA
500,Eluréd and Elurín born. Release of Húrin. Death of Morwen.,FA
501,Húrin comes to Doriath. Deaths of Húrin and Hardang.,FA
502,"Dwarves of Nogrod set the Silmaril in the Nauglamír, death of Thingol, Melian returns to Valinor.",FA
503,"Births of Eärendil and Elwing. Battle of the Thousand Caves, Battle of Sarn Athrad; death of  Mablung of the heavy hand; Lúthien wears the Silmaril. Dior and his family come to Menegroth. Final deaths of Beren and Lúthien. Dior receives the Nauglamír and Silmaril.",FA
505,Demand made for the Silmaril.,FA
506,"Second Kinslaying at Menegroth.Deaths of Dior, Nimloth, Celegorm, Curufin, and Caranthir. Eluréd and Elurín are abandoned to die.",FA
507,Elwing comes to the Havens of Sirion with the Silmaril.,FA
509,Maeglin captured and tortured.,FA
510,"Fall of Gondolin. Deaths of Turgon, Ecthelion, Glorfindel, Maeglin, and Gothmog.Ereinion Gil-galad becomes High King of the Noldor",FA
511,Gondolin refugees arrive at the Havens of Sirion.,FA
512,"Maedhros learns a Silmaril is at the Havens of Sirion, but forswears the Oath of Fëanor.",FA
525,"Eärendil weds Elwing, Tuor and Idril depart for Valinor.",FA
527,"The remaining Sons of Fëanor--Maedhros, Maglor, Amrod, and Amras - begin to feel tormented by their unfulfilled oath.",FA
532,Births of Elrond and Elros.,FA
534,Eärendil searchs for Valinor.,FA
538,Third Kinslaying at the Havens of Sirion. Deaths of Amrod and Amras. Elrond and Elros are taken captive by Maglor. Elwing escapes with the Silmaril into the Sea. Ulmo gives her the form of a white bird and she reunites with Eärendil aboard Vingilótë.,FA
540,Morgoth controls all of Beleriand.,FA
542,Eärendil and Elwing come to Valinor.,FA
545,Host of Valinor lands in Beleriand.,FA
587,Destruction of Beleriand. Deaths of Ancalagon and Maedhros.,FA
590,Morgoth thrust from Arda. Host of Valinor departs Middle-earth.,FA
1,"Foundation of the Grey Havens, and of Lindon.",SA
32,"The Edain, and a few Drúedain, reach Númenor; Elros Tar-Minyatur becomes the first King of Númenor.",SA
c. 40,Dwarves of the Firebeards and Broadbeams clans migrate to Khazad-dûm from Blue Mountains.,SA
61,"Birth of Vardamir Nólimon, second King of Númenor.",SA
c. 82,The emigration of the Edain to Númenor ends.,SA
192,"Birth of Amandil, third King of Númenor.",SA
203,Birth of Vardilmë.,SA
213,Birth of Aulendil.,SA
222,Birth of Nolondil.,SA
350,"Birth of Elendil, fourth King of Númenor.",SA
361,Birth of Eärendur (son of Amandil).,SA
371,Birth of Yávien.,SA
377,Birth of Mairen.,SA
382,Birth of Oromendil.,SA
395,Birth of Axantur.,SA
442,Death of King Elros Tar-Minyatur. Vardamir Nólimon inherits the Sceptre to become the second King of Númenor but immediately abdicates. Tar-Amandil becomes the third King of Númenor.,SA
443,The notional end of Vardamir Nólimon's reign.,SA
451,Birth of Vëantur.,SA
471,"Death of Vardamir Nólimon, second King of Númenor.",SA
c. 500,Sauron returns to Middle-earth in the East.,SA
512,Birth of Caliondo.,SA
521,Birth of Silmariën.,SA
532,Birth of Isilmë.,SA
543,"Birth of Meneldur, fifth King of Númenor.",SA
551,Birth of Lindissë.,SA
562,Birth of Ardamir (son of Axantur).,SA
575,Birth of Cemendur (son of Axantur).,SA
590,Tar-Amandil surrenders the Sceptre; Tar-Elendil becomes the fourth King of Númenor.,SA
600,"Captain of the King's Ships, Vëantur, makes the first Númenórean voyage back to Middle-earth. The Númenóreans meet Men of Eriador at Tower Hills.",SA
601,Vëantur returns from his voyage to Mithlond.,SA
603,"Death of Tar-Amandil, third King of Númenor.",SA
630,"Birth of Valandil, first Lord of Andúnië.",SA
670,Birth of Malantur.,SA
700,"Birth of Aldarion, sixth King of Númenor.Birth of Írildë.",SA
711,Birth of Hallatan.,SA
712,Birth of Ailinel.,SA
725,Aldarion makes his first journey to Mithlond in the ship Númerrámar captained by Vëantur.,SA
727,Aldarion and Vëantur return to Númenor.,SA
729,Birth of Almiel.,SA
